Tables_in_app_radfpd
sgi_asistentes
sgi_ciclos
sgi_config
sgi_contactos
sgi_entidades
sgi_familias
sgi_grupos_menu
sgi_historico_opciones
sgi_logs
sgi_modos_reunion
sgi_motivos_nodual
sgi_motivos_reunion
sgi_niveles
sgi_opciones_menu
sgi_provincias
sgi_reuniones
sgi_rol_menu
sgi_roles
sgi_tipos_entidad
sgi_tipos_log
sgi_unidades
sgi_unidades_dual
sgi_usuarios
sgi_vista_logs
sgi_vista_rol_menu
sgi_zonas
